year,commodity,acres_planted,acres_harvested,production,yield,price_per_bushel
1948,Oats,43.84,39.28,"1,450.19",36.9,
1949,Oats,43.13,37.79,"1,220.12",32.3,
1950,Oats,45.04,39.31,"1,369.20",34.8,
1951,Oats,41.02,35.23,"1,277.65",36.3,
1952,Oats,42.34,37.01,"1,217.43",32.9,
1953,Oats,43.22,37.54,"1,153.21",30.7,
1954,Oats,46.9,40.55,"1,409.60",34.8,
1955,Oats,47.49,39.03,"1,495.98",38.3,
1956,Oats,44.21,33.33,"1,151.40",34.5,
1957,Oats,41.84,34.07,"1,289.88",37.9,
1958,Oats,37.7,31.25,"1,401.41",44.8,
1959,Oats,35.06,27.76,"1,050.05",37.8,
1960,Oats,31.42,26.59,"1,153.33",43.4,
1961,Oats,32.31,23.89,"1,010.31",42.3,
1962,Oats,29.5,22.38,"1,012.20",45.2,
1963,Oats,28.05,21.31,965.51,45.3,
1964,Oats,25.63,19.76,852.26,43.1,
1965,Oats,24.05,18.52,929.55,50.2,
1966,Oats,23.34,17.88,803.32,44.9,
1967,Oats,20.72,16.11,793.8,49.3,
1968,Oats,23.34,17.71,950.69,53.7,
1969,Oats,23.56,17.97,965.86,53.7,
1970,Oats,24.41,18.59,915.24,49.2,
1971,Oats,21.83,15.71,878.08,55.9,
1972,Oats,19.99,13.41,690.62,51.5,
1973,Oats,18.61,13.77,659.14,47.9,
1974,Oats,17.01,12.61,600.66,47.6,
1975,Oats,16.43,13.04,638.96,49,0.54
1976,Oats,16.62,11.83,540.44,45.7,0.72
1977,Oats,17.73,13.49,752.77,55.8,1.03
1978,Oats,16.41,11.13,581.66,52.3,1.03
1979,Oats,13.96,9.68,526.75,54.4,1.08
1980,Oats,13.38,8.66,458.79,53,1.16
1981,Oats,13.63,9.41,509.53,54.2,1.24
1982,Oats,13.95,10.26,592.63,57.8,1.31
1983,Oats,20.29,9.06,476.47,52.6,1.36
1984,Oats,12.41,8.16,473.66,58,1.31
1985,Oats,13.24,8.15,518.49,63.6,1.31
1986,Oats,14.67,6.84,385,56.3,0.99
1987,Oats,17.91,6.89,373.71,54.3,0.94
1988,Oats,13.91,5.53,217.38,39.3,0.9
1989,Oats,12.09,6.88,373.59,54.3,0.85
1990,Oats,10.42,5.95,357.65,60.1,0.81
1991,Oats,8.65,4.82,243.85,50.6,0.83
1992,Oats,7.94,4.5,294.23,65.4,0.88
1993,Oats,7.94,3.8,206.73,54.4,0.88
1994,Oats,6.64,4.01,228.84,57.1,0.97
1995,Oats,6.23,2.95,161.09,54.6,0.97
1996,Oats,4.64,2.66,153.25,57.7,1.03
1997,Oats,5.07,2.81,167.25,59.5,1.11
1998,Oats,4.89,2.75,165.77,60.2,1.11
1999,Oats,4.67,2.45,145.63,59.6,1.13
2000,Oats,4.47,2.33,149.17,64.2,1.16
2001,Oats,4.4,1.91,117.6,61.5,1.21
2002,Oats,5,2.06,116,56.4,1.35
2003,Oats,4.6,2.22,144.38,65,1.35
2004,Oats,4.09,1.79,115.7,64.7,1.33
2005,Oats,4.25,1.82,114.86,63,1.33
2006,Oats,4.17,1.56,93.52,59.8,1.33
2007,Oats,3.76,1.5,90.43,60.1,1.33
2008,Oats,3.26,1.41,90.05,63.7,1.33
2009,Oats,3.35,1.34,91.04,67.9,1.33
2010,Oats,3.11,1.27,81.86,64.6,1.39
2011,Oats,2.35,0.88,50.13,57.3,1.39
2012,Oats,2.7,1.01,61.49,61.2,1.39
